SurveyUSA,A
YouGov,B
Rasmussen Reports/Pulse Opinion Research,C+
Zogby Interactive/JZ Analytics,C-
"Mason-Dixon Polling & Research, Inc.",B+
Public Policy Polling,B+
Research 2000,F
American Research Group,C+
Quinnipiac University,A-
Marist College,A
Harris Interactive,C-
TCJ Research,F
"Strategic Vision, LLC",F
Opinion Savvy/InsiderAdvantage,C-
University of New Hampshire,B+
CNN/Opinion Research Corp.,A-
Gallup,B-
Monmouth University,A+
Suffolk University,B+
Gravis Marketing,B-
CBS News/New York Times,A-
Public Opinion Strategies,B
We Ask America,C
ABC News/Washington Post,A+
Ipsos,A-
Greenberg Quinlan Rosner (Democracy Corps),B-
Mitchell Research & Communications,D
EPIC-MRA,A-
RT Strategies,B+
Siena College,A
Los Angeles Times,A-
University of Cincinnati (Ohio Poll),A
Selzer & Company,A+
Dan Jones & Associates,C+
Fox News/Opinion Dynamics Corp.,B
Emerson College,B
Princeton Survey Research Associates International,B+
George Washington University (Battleground),B
Pharos Research Group,F
ccAdvertising,C
Grove Insight,A
Angus Reid Global,A-
"Susquehanna Polling & Research, Inc.",B-
Market Shares Corp.,B+
"RKM Research and Communications, Inc.",B+
"Research & Polling, Inc.",A
Field Research Corporation (Field Poll),A+
NBC News/Wall Street Journal,A-
Fox News/Anderson Robbins Research/Shaw & Company Research,A
Landmark Communications,B
Tarrance Group,B
Muhlenberg College,A
Garin-Hart-Yang Research Group,B+
KRC/Communications Research,B-
Global Strategy Group,C+
Mellman Group,B
Merriman River Group,C-
Franklin Pierce University,B-
Pew Research Center,B+
McLaughlin & Associates,C-
GfK Group,B+
Fairleigh Dickinson University (PublicMind),A
Franklin & Marshall College,B+
Penn Schoen Berland,B-
Columbus Dispatch,C+
Elway Research,A+
Blum & Weprin Associates,A
Ciruli Associates,A+
Critical Insights,C
Pan Atlantic SMS Group,B+
IBD/TIPP,A-
SoonerPoll.com,B
New England College,B
Financial Dynamics,B
Fleming & Associates,B+
Ward Research (Honolulu Star-Advertiser),B+
University of Massachusetts Lowell,B
Magellan Strategies,C
Rutgers University,B-
Star Tribune,C+
Brown University,C-
Opinion Research Associates,C-
"Davis, Hibbitts & Midghall, Inc.",B
Roanoke College,C+
St. Norbert College,A-
National Journal,A
Tel Opinion Research,B
Public Policy Institute of California,A
Google Consumer Surveys,B
Overtime Politics,F
Trafalgar Group,C
MassINC Polling Group,A-
Capital Survey Research Center,B-
University of Massachusetts Amherst,B
Vox Populi Communications,B
Anzalone Liszt Grove Research,C
"Richard Day Research, Inc.",B-
SurveyMonkey,C-
Western New England University,A-
Loras College,B-
"Normington, Petts & Associates",C+
Louisville Courier-Journal,B
University of Washington,B
Humphrey Institute,D-
Wilson Research Strategies,B-
Big Ten,C
"Market Research Institute, Inc.",B
Hendrix College,C+
"Harstad Strategic Research, Inc.",B+
"Gonzales Research & Marketing Strategies, Inc.",B-
Lake Research Partners,B+
Clout Research/Wenzel Strategies,C-
Dittman Research,B-
Harper Polling,B-
Benenson Strategy Group,B-
University of New Orleans,C
St. Cloud State University,C+
"Talmey-Drake Research & Strategy, Inc.",C+
Datamar,C
"Schroth, Eldon & Associates",B-
Hamilton Campaigns,C+
Southeastern Louisiana University,C-
Potomac Incorporated,B-
University of South Alabama,B+
"National Research, Inc.",B+
Arizona State University,C+
Montana State University Billings,B+
Behavior Research Center (Rocky Mountain),A
Constituent Dynamics,C+
"Fairbank, Maslin, Maullin, Metz & Associates",B-
Maine People's Resource Center,C
West Chester University,C+
"Glengariff Group, Inc.",B
"Wiese Research Associates, Inc.",C+
Hays Research Group,C+
Riley Research Associates,B+
Market Research Insight,B+
Howey Politics/DePauw University,B-
University of Connecticut,A-
Time/Abt SRBI,A-
Marquette University,A
Marketing Workshop,D+
Baydoun Consulting,C-
"Yankelovich Partners, Inc.",B-
OnMessage Inc.,C+
University of Wisconsin (Badger Poll),B
American Viewpoint,B
Marketing Resource Group (MRG),C+
OpinionWorks,B-
Nielson Brothers Polling,C-
Temple University,B+
Valley Research,D+
Voter/Consumer Research,B
"Public Strategies, Inc.",C+
"Ethridge & Associates, LLC",B-
Moore Information,B
Rhode Island College,C+
JMC Enterprises,C
20/20 Insight,C-
Stockton College,B
Hellenthal & Associates,C+
Millersville University,D
Greenberg Quinlan Rosner/American Viewpoint,B+
Ivan Moore Research,C
Greg Smith and Associates,C
"International Communications Research, Inc.",B-
Virginia Commonwealth University,B-
Crawford Johnson & Northcott Inc.,B-
DFM Research,B-
Ed Renwick,C
Clemson University,B
Middle Tennessee State University,B-
University of Texas,B-
Wirthlin Worldwide,C+
"Frank N. Magid Associates, Inc.",B-
Orion Strategies,B-
Alabama State University,B-
Elon University,B+
Northern Arizona University,B-
University of Arkansas,A-
Optimus,C-
University of North Florida,B+
Fort Hays State University,C-
Marshall Marketing & Communications,B-
Minnesota State University Moorhead,C
IVR Polls,B-
Market Decisions,B
Kimball Political Consulting,C+
Consumer Logic,C-
Richmond Times-Dispatch,B
Southern Media & Opinion Research,B-
Cole Hargrave Snodgrass & Associates,B
Clarity Campaign Labs,B
"Political Marketing International, Inc./Red Racing Horses",B-
Purple Strategies,B-
Hill Research Consultants,B
Philadelphia Inquirer,B
Jim Meader (KELOLAND-TV),C+
Brigham Young University,D+
OnPoint,B-
Strategies 360,B
Scripps Howard,B-
CallFire,B-
Market Solutions Group,C+
University of Wisconsin Milwaukee,C+
"Keating Research, Inc.",B
TargetPoint,C
Missouri State University,B
PSI,C
The Polling Company Inc.,B
Knowledge Networks,B
Wilson Perkins Allen Opinion Research,B
Western Kentucky University,C+
Momentum Analysis,C
Midwest Survey and Research,C+
Manhattanville College,C+
University of Iowa,C+
Polling Company/Global Strategy Group (Hotline Bullseye),C
Dixie Strategies,C+
CVOTER International,C+
Braun Research,C+
McCulloch Research & Polling,C+
Decision Forecasting,C
Data West Polling,C-
Personal Marketing Research,B-
Zimmerman & Associates/Marketing Intelligence,C+
MSR Group,B-
Illinois Wesleyan University,C+
Castleton University,B+
RAND (American Life Panel),B-
Becker Institute,C+
Iowa State University,B-
US News & World Report,B-
CPEC LLC,D+
NPR,B-
Christopher Newport University,B-
Lycoming College,C+
Clarus Research Group,B-
Indiana University-Purdue University Fort Wayne,C-
Dartmouth College,B
Florida Atlantic University,C+
Dane & Associates,D+
StPetePolls.org,C+
Loyola University (New Orleans),C-
"Baselice & Associates, Inc.",C+
McKeon & Associates,B
Gordon S. Black Corp.,C+
GaPundit.com,C
Baruch College,B-
RBI Strategies & Research,B
Massie & Associates,D+
Zata3,C
Rice University,C+
Ohio University,C-
Merrill Poll,B
SocialSphere,B-
Belden Russonello,B-
Frederick Polls,B
University of Alabama,C-
APC Research,B
Cherry Communications,C
Tulchin Research,B
WCIA-TV,C-
GBA Strategies,B
M4 Strategies,C+
MarblePort,C+
TMR Research,C
Basswood Research,C+
Louis Harris & Associates,C+
ResearchNow,C+
Master Image,C+
High Point University,B+
Schapiro Group,C
West Virginia Research Center,C+
Forward Strategies,C+
Lincoln Institute,C+
Crosswind Media & Public Relations,C+
Abacus Associates,C
Texas Credit Union League,C+
Indiana University,B+
Research America Inc.,C+
Opinion Consultants,C+
Kiley & Company,B
CrossTarget,C+
"North Star Opinion Research/Ayres, McHenry & Associates",B-
"Fabrizio, Lee & Associates",B
Bannon Communications,C
Independent Market Research,C+
Douglas Fulmer & Associates,C+
University of Georgia,C+
TeleResearch Corporation,C+
Harvard University,C+
Ron Lester and Associates,C+
R.L. Repass & Partners,C+
University of South Florida,C+
Rossman Group,C+
A&A Research,C
Southern Opinion Research,C
Strategic Services,C+
"California State University, Bakersfield",C
New Frontier Strategy,C
Liberty Opinion Research,C+
Cromer Group,C+
Marketing Research Institute,C
Saint Leo University,C+
Glascock Group,C
Target Insyght,C
Glover Park Group,C
Inside Michigan Politics,C
RABA Research,C+
Tulsa Surveys,C
ASA Marketing Group,C+
Y2 Analytics,C+
Arthur J. Finkelstein & Associates,C
Market Trends Pacific,C+
"SMS Research & Marketing Services, Inc.",C
GCR & Associates,C
Ohio State University,C+
Wick Communications,C+
"MarketAide Services, Inc.",C
NRECA Market Research,C+
Analytical Group,C+
Iona College,C+
Anderson Group,C
Triumph Campaigns,C+
Forman Center,C+
War Room Logistics,C+
Rivercity Polling,C+
Diversified Research Inc,C+
Neighborhood Research Corporation,C+
Great Lakes Strategies Group,C+
Winston Group,C+
Red Sea Communications,C+
Jeffrey Stonecash,C
New Mexico State University,C+
Aspen Media & Market Research,C+
Multi Quest International Inc,C+
MBQF,C+
Rainmaker Media Group,C-
Multi-Quest International,C+
University of North Carolina,C+
"Central Surveys, Inc.",C+
Neighbor,C-
Cooper & Secrest,C+
BIGresearch,C+
"Lauer Lalley Victoria, Inc.",C+
Wood Communications Group,C+
Cranford & Associates,C+
"Dynamic Marketing, Inc.",C+
RMS Research,C+
Market Strategies International,C+
University of Tennessee,C+
Canisius College,C+
University of Illinois at Chicago,B-
Lauer Johnson Research,B-
Feldman Group,B-
Hoffman Research Group,B-
Val Smith,B-
Victoria Research & Consulting,B-
University of Nevada Las Vegas,B-
Probolsky Research,B-
Schoen Consulting,B-
Riggs Research Services,D+
Old Dominion University,B
Hampton University,B
QEV Analytics,B
Florida International University/Univision,B
University of Houston,B
Jayhawk Consulting,D
Vanderbilt University,B+
University of Florida,B+
Diamond State Consulting Group,C+
